column,non_missing_rows,missing_rows,missing_pct
DEBT PROVIDERS (FUNDS),0,5321,100.0
INITIAL CAPITALIZATION RATE (%),5,5316,99.90603270062019
TOTAL DEAL SIZE EQUITY (CURR. MN),26,5295,99.51137004322496
TOTAL DEAL SIZE EQUITY (EUR MN),26,5295,99.51137004322496
TOTAL DEAL SIZE EQUITY (USD MN),26,5295,99.51137004322496
DEBT PROVIDERS (FIRMS),44,5277,99.17308776545762
TOTAL DEBT SIZE (CURR. MN),47,5274,99.11670738582973
TOTAL DEBT SIZE (EUR MN),47,5274,99.11670738582973
TOTAL DEBT SIZE (USD MN),47,5274,99.11670738582973
BOUGHT FROM / SELLERS (FUNDS),531,4790,90.02067280586355
LEGAL ADVISORS - SELLERS,930,4391,82.52208231535427
BROKERS - BUYERS,960,4361,81.95827851907536
DEAL CURRENCY,1178,4143,77.8613042661154
DEAL SIZE (CURR. MN),1178,4143,77.8613042661154
DEAL SIZE (EUR MN),1178,4143,77.8613042661154
DEAL SIZE (USD MN),1178,4143,77.8613042661154
BROKERS - SELLERS,1301,4020,75.54970870137193
LEGAL ADVISORS - BUYERS,1380,3941,74.06502537117083
INVESTORS / BUYERS (FUNDS),1520,3801,71.433940988536
ASSET STATES,2774,2547,47.86694230407818
TOTAL SIZE (SQ. FT.),3342,1979,37.1922570945311
TOTAL SIZE (SQ. M.),3342,1979,37.1922570945311
ASSET CITIES,4376,945,17.75981958278519
NO. OF ASSETS,4466,855,16.068408193948507
SELLER TYPE,4580,741,13.925953768088705
BUYER TYPE,4733,588,11.05055440706634
ASSETS TYPES,5152,169,3.1760947190377746
ASSETS,5160,161,3.02574704003007
ASSET COUNTRIES,5240,81,1.5222702499530163
INVESTORS / BUYERS (FIRMS),5301,20,0.3758691975192633
BOUGHT FROM / SELLERS (FIRMS),5313,8,0.15034767900770532
ASSET REGIONS,5321,0,0.0
DEAL DATE,5321,0,0.0
DEAL ID,5321,0,0.0
DEAL NAME,5321,0,0.0
DEAL OVERVIEW,5321,0,0.0
DEAL TYPE,5321,0,0.0
OLD DEAL ID,5321,0,0.0
PRIMARY ASSET TYPE,5321,0,0.0
PRIMARY LOCATION,5321,0,0.0
