DEAL ID,DEAL NAME,DEAL DATE,DEAL TYPE,PRIMARY LOCATION,PRIMARY ASSET TYPE,DEAL OVERVIEW,ASSET COUNTRIES,ASSET CITIES,NO. OF ASSETS,TOTAL SIZE (SQ. FT.),TOTAL SIZE (SQ. M.),DEAL SIZE (EUR MN),INITIAL CAPITALIZATION RATE (%),sqft_to_sqm_ratio
833409,Serwisowa 132,2026-01-08 00:00:00,Single Asset,Poland,Land,"In January 2026, Jet Investment acquired Serwisowa 132 from an unidentified seller. The land development site is located in Bedzieszyn, Poland.

Upon acquisition, the asset is planned to be developed into an industrial complex and will be named as Jet Industrial Park Gdańsk.",Poland,,1.0,1636114.0,151998.7,50.0,,10.763999955262774
836652,George House,2026-01-28 00:00:00,Single Asset,UK,Office,"In January 2026,  a joint venture between Ardstone Capital, on behalf of its Ardstone UK Regional Office Fund, and CBRE Investment Management sold George House to a joint venture between Time Equities and Longstock Capital. The office property is located in Glasgow, UK.",UK,Glasgow,1.0,99740.0,9266.07,12.397065,,10.764002430372315
837255,Forum Mersin Shopping Mall,2026-01-31 00:00:00,Single Asset,Turkey,Retail,"In January 2026, Union Investment sold Forum Mersin Shopping Mall to Torunlar REIC. The retail property is located in Mersin, Turkey.",Turkey,Mersin,1.0,769626.0,71500.0,219.02,,10.764
837939,7-8 Conduit Street,2026-02-03 00:00:00,Single Asset,UK,Mixed Use,"In February 2026, Bayerische Hausbau acquired 7-8 Conduit Street from Wendover Housing Partners. The mixed use property is located in London, UK.",UK,London,1.0,14725.0,1367.99,47.697776,,10.763967572862375
841349,90 Whitfield Street,2026-02-26 00:00:00,Single Asset,UK,Office," In February 2026, Lone Star Funds, on behalf of its Lone Star Real Estate Fund VII, acquired 90 Whitfield Street from Derwent London. The office property is located in London, UK.",UK,London,1.0,117652.0,10930.14,128.164276,,10.763997533425922
843187,Gaumont Marigan Cinema,2026-01-07 00:00:00,Single Asset,France,Niche,"In January 2026, Bain Capital, Revcap, and Black Swan Living acquired Gaumont Marigan Cinema from Icade. The cinema property is located in Paris, France.

Upon acquisition, the asset is planned to be redeveloped into a mixed use property.",France,Paris,1.0,130000.0,12077.29,402.0,,10.76400417643362
844548,Rugeley 161,2026-03-16 00:00:00,Single Asset,US,Industrial,"In March 2026, Mercia Real Estate sold Rugeley 161 to an unidentified private investor. The industrial property is located in Rugeley, UK.",UK,,1.0,161145.0,14970.74,8.392957,,10.763996970089655
846070,Fairground Way Business Centre,2026-03-24 00:00:00,Single Asset,UK,Industrial,"In March 2026, Goold Estates sold Fairground Way Business Centre to Burbury Investments. The industrial property is located in Walsall, UK.",UK,,,26635.0,2474.45,2.892162,,10.764008163430258
847584,Pulse,2026-04-01 01:00:00,Single Asset,Netherlands,Industrial,"In April 2026, M&G, on behalf of its M&G European Property Fund, acquired Pulse from Schenker Nederland. The industrial property is located Tilburg, Netherlands.

The asset is within Katsbogten Business Park.",Netherlands,Tilburg,1.0,215075.48,19981.0,37.204577,,10.76399979980982
848173,Units 1-6 Chancel Way,2026-04-08 01:00:00,Single Asset,UK,Industrial,"In April 2026, Sandyford Properties acquired Units 1-6 Chancel Way from an unidentified private family property company. The industrial property is located in Halesowen, UK.",UK,Halesowen,1.0,44234.0,4109.44,3.928001,,10.763997040959353
